    PID TTY          TIME CMD
    854 ?        00:00:00 avahi-daemon
    761 ?        00:00:00 avahi-daemon
   8183 pts/0    00:00:00 bash
     20 ?        00:00:00 cpuhp/0
     21 ?        00:00:00 cpuhp/1
    762 ?        00:00:03 dbus-daemon
     55 ?        00:00:00 ecryptfs-kthread
   1671 ?        00:00:00 fusermount3
   1561 ?        00:00:00 gdm-session-wor
   9925 ?        00:00:00 gjs
     19 ?        00:00:00 idle_inject/0
     22 ?        00:00:00 idle_inject/1
     44 ?        00:00:00 irq/9-acpi
    292 ?        00:00:01 jbd2/dm-0-8
    531 ?        00:00:00 jbd2/sda2-8
     32 ?        00:00:00 kauditd
     37 ?        00:00:01 kcompactd0
     29 ?        00:00:00 kdevtmpfs
     40 ?        00:00:00 khugepaged
     33 ?        00:00:00 khungtaskd
     38 ?        00:00:00 ksmd
     16 ?        00:00:02 ksoftirqd/0
     24 ?        00:00:02 ksoftirqd/1
     54 ?        00:00:07 kswapd0
      2 ?        00:00:00 kthreadd
   8260 ?        00:00:02 kworker/0:0-events
   7703 ?        00:00:01 kworker/0:0H-kblockd
  10071 ?        00:00:00 kworker/0:1-cgroup_destroy
  10172 ?        00:00:00 kworker/0:2
   8611 ?        00:00:00 kworker/0:2H
   7721 ?        00:00:00 kworker/1:0H-kblockd
  10045 ?        00:00:00 kworker/1:1-cgroup_destroy
   4568 ?        00:00:04 kworker/1:1H-kblockd
   9894 ?        00:00:00 kworker/1:3-events
     57 ?        00:00:00 kworker/R-acpi_
     46 ?        00:00:00 kworker/R-ata_s
     43 ?        00:00:00 kworker/R-blkcg
     91 ?        00:00:00 kworker/R-charg
    533 ?        00:00:00 kworker/R-crypt
     50 ?        00:00:00 kworker/R-devfr
     49 ?        00:00:00 kworker/R-edac-
    293 ?        00:00:00 kworker/R-ext4-
    532 ?        00:00:00 kworker/R-ext4-
     30 ?        00:00:00 kworker/R-inet_
     64 ?        00:00:00 kworker/R-ipv6_
     42 ?        00:00:00 kworker/R-kbloc
    250 ?        00:00:00 kworker/R-kdmfl
     41 ?        00:00:00 kworker/R-kinte
     72 ?        00:00:00 kworker/R-kstrp
     56 ?        00:00:00 kworker/R-kthro
     47 ?        00:00:00 kworker/R-md
     48 ?        00:00:00 kworker/R-md_bi
     63 ?        00:00:00 kworker/R-mld
     12 ?        00:00:00 kworker/R-mm_pe
      7 ?        00:00:00 kworker/R-netns
      4 ?        00:00:00 kworker/R-rcu_g
      5 ?        00:00:00 kworker/R-rcu_p
     59 ?        00:00:00 kworker/R-scsi_
     61 ?        00:00:00 kworker/R-scsi_
    159 ?        00:00:00 kworker/R-scsi_
    161 ?        00:00:00 kworker/R-scsi_
    163 ?        00:00:00 kworker/R-scsi_
    165 ?        00:00:00 kworker/R-scsi_
    167 ?        00:00:00 kworker/R-scsi_
    169 ?        00:00:00 kworker/R-scsi_
    171 ?        00:00:00 kworker/R-scsi_
    173 ?        00:00:00 kworker/R-scsi_
    175 ?        00:00:00 kworker/R-scsi_
    177 ?        00:00:00 kworker/R-scsi_
